period,full_rms_half_separation_x,full_smoothed_amplitude,full_fit_mask,replay_local_log_factor,replay_cumulative_lambda,mean_local_log_factor,mean_cumulative_lambda
175.0,1.6981787550082454e-08,1.6819073030681793e-08,1,-1.886577126173604,-1.8846309458318846,-1.8849706600024136,-1.8841116258356052
176.0,1.7147150559194273e-08,1.692702886196681e-08,1,-1.9269737297325693,-1.8848715298313203,-1.9251111050954788,-1.884344577422309
177.0,1.651815638669089e-08,1.7032800220151635e-08,1,-1.9279936553696577,-1.8851151576592207,-1.9282994615863476,-1.8845929101012018
178.0,1.773667209705012e-08,1.713448577115653e-08,1,-1.8815207308869468,-1.8850949642503878,-1.8838825926531064,-1.8845889195537406
179.0,1.678023450774044e-08,1.7247354066037854e-08,1,-1.8396582558660646,-1.884841127890699,-1.8402195167609112,-1.8843410457951213
180.0,1.7490215305106908e-08,1.7348409039053823e-08,1,-1.8466401555205783,-1.8846289002664205,-1.845604760666896,-1.8841258442110758
181.0,1.7711492033600904e-08,1.745951764555114e-08,1,-1.8888058634036318,-1.8846519774108248,-1.886819672631133,-1.8841407272410207
182.0,1.7023431251770728e-08,1.7568933983919896e-08,1,-1.9280126572729512,-1.8848902229045728,-1.9261586645849502,-1.8843715950286246
183.0,1.829221512953672e-08,1.767359054615782e-08,1,-1.92679159075578,-1.8851191921278034,-1.9273135088611972,-1.8846062502954692
184.0,1.732731619958421e-08,1.7790063175871677e-08,1,-1.8796385258824555,-1.8850894058982093,-1.8817124998899455,-1.8845905233910913
185.0,1.8013498116296532e-08,1.7894435375722184e-08,1,-1.8389353415645775,-1.8848399244693788,-1.839997759812486,-1.8843494814258015
186.0,1.82938551821702e-08,1.8008799252673748e-08,1,-1.8479000599027957,-1.8846413230469776,-1.8467807702223515,-1.8841474991075033
187.0,1.7545292251023253e-08,1.8121976282849094e-08,1,-1.8908183474971716,-1.8846743552632887,-1.888653409682931,-1.8841715948859816
188.0,1.886403451429454e-08,1.8229716872091425e-08,1,-1.9282756758267845,-1.8849062771811798,-1.927033967281379,-1.8843995862285103
189.0,1.7893201350460935e-08,1.8349906184418533e-08,1,-1.9256661473243917,-1.8851219378697681,-1.9262514446054826,-1.8846210246326214
190.0,1.8552201062508184e-08,1.8457717185467292e-08,1,-1.8777005094427353,-1.885082877720152,-1.8795689273199072,-1.884594434646765
191.0,1.889480174380574e-08,1.857540594851052e-08,1,-1.8383031676011865,-1.884837957771885,-1.8392636760034093,-1.884357100831878
192.0,1.8084347256267052e-08,1.8692451186118034e-08,1,-1.8491626197449482,-1.8846521487196615,-1.848054798729037,-1.884168026341759
193.0,1.9452478329510687e-08,1.880335965222116e-08,1,-1.8920892514112098,-1.8846906829304986,-1.8904815945532976,-1.88420073913042
194.0,1.8478427538498495e-08,1.89273578320846e-08,1,-1.9295246533470742,-1.8849217858707903,-1.9279583930408275,-1.884426294047484
195.0,1.9106743393023835e-08,1.903873116476676e-08,1,-1.9246360244042695,-1.8851254486325004,-1.9251584699815487,-1.8846351770009921
196.0,1.9514792643122904e-08,1.9159865610389502e-08,1,-1.8755521864147755,-1.88507660545792,-1.8775135904218994,-1.8845988423755888
197.0,1.864121391967789e-08,1.9280931342886842e-08,1,-1.8379178911622407,-1.884837221121394,-1.8381652430523916,-1.884363138825725
198.0,2.0058150557624386e-08,1.9395134919206566e-08,1,-1.8500161694509392,-1.8846613572240685,-1.8493469934650513,-1.8841862896067318
199.0,1.908375620098519e-08,1.952308584972135e-08,1,-1.8940973665866525,-1.8847087743565438,-1.8923268962193505,-1.8842271971776494
200.0,1.9677761274622454e-08,1.963817381312802e-08,1,-1.930417982539652,-1.8849373203974593,-1.928807221859825,-1.8844500973010603
201.0,2.0154547295696828e-08,1.976284141274832e-08,1,-1.9234071736113039,-1.8851287127020058,-1.9239026548258593,-1.8846463786817804
202.0,1.921665373671123e-08,1.9888054597684308e-08,1,-1.873534089920402,-1.8850713135793244,-1.8754063447154805,-1.8846006359393732
203.0,2.0681488555725888e-08,2.0005653612387036e-08,1,-1.8374092755874216,-1.8848365252148325,-1.8376060163014758,-1.884369135350024
204.0,1.9709822125665122e-08,2.0137633971918407e-08,1,-1.851714607667086,-1.884674162873912,-1.8505027551357456,-1.8842031236823067
205.0,2.0265756348136103e-08,2.0256545732607582e-08,1,-1.8959962665709198,-1.884729392648044,-1.8941468352375543,-1.8842516295923324
206.0,2.0814449093353683e-08,2.0384830538885517e-08,1,-1.9310944936209078,-1.8849544659537374,-1.9295874827903732,-1.8844717065496046
207.0,1.9811212540157092e-08,2.05143254063291e-08,1,-1.9220394248635309,-1.885133620344606,-1.9226033618430096,-1.884655917444742
208.0,2.132291258711556e-08,2.063543931867243e-08,1,-1.871145628754082,-1.8850663703850363,-1.87332359497948,-1.8846014351251972
209.0,2.035729646288305e-08,2.077159458844459e-08,1,-1.8369911896994513,-1.884836345597067,-1.837134087518997,-1.884374318629474
210.0,2.0871325909852765e-08,2.0894501962817063e-08,1,-1.8531414827165165,-1.8846854176785883,-1.8523855510334084,-1.8842219911647309
211.0,2.1495225442214465e-08,2.1026530025218913e-08,1,-1.8973177970542907,-1.8847452867751557,-1.8959426108933828,-1.88427753912553
212.0,2.0425749412019457e-08,2.1160449101538313e-08,1,-1.9316491889514003,-1.8849665315967417,-1.9302924002179853,-1.8844945903570982
213.0,2.198305289912481e-08,2.1285179622321915e-08,1,-1.9206910360339735,-1.8851342522748507,-1.9211287688705798,-1.8846665818055182
214.0,2.1026891844480038e-08,2.142558387487166e-08,1,-1.8695989662467942,-1.885061657480327,-1.8712738355108012,-1.8846039988789074
215.0,2.149497851377079e-08,2.1552589316460465e-08,1,-1.8368060816566614,-1.8848372129416124,-1.8367519863265167,-1.8843814313786638
